claim_id,product_category,product_age_months,warranty_period_months,receipt_available,serial_number_valid,damage_type,repair_history,purchase_price,claim_amount,days_since_purchase,claim_status
31,TV,42,24,0,1,Water Damage,3,1167,495.62,1253,Invalid
32,Headphones,40,24,0,1,Water Damage,4,141,29.07,1199,Invalid
33,Headphones,55,36,0,1,Manufacturing Defect,4,70,22.48,1650,Manual Review
34,Headphones,12,12,1,0,Battery Failure,4,353,386.6,361,Manual Review
35,Tablet,54,24,0,1,Unknown,1,680,147.35,1611,Manual Review
36,Refrigerator,19,24,1,1,Manufacturing Defect,1,2478,394.88,574,Valid
37,Smartphone,55,24,1,1,Manufacturing Defect,3,887,865.59,1653,Manual Review
38,Smartphone,6,24,1,0,Software Failure,2,915,894.99,181,Manual Review
39,Camera,28,24,0,0,Water Damage,4,484,238.79,836,Invalid
40,Laptop,6,12,1,1,Battery Failure,1,959,657.48,187,Valid
41,TV,54,36,0,0,Unknown,3,2447,1190.27,1614,Invalid
42,Smartphone,21,36,1,1,Manufacturing Defect,0,1296,623.93,636,Valid
43,Refrigerator,60,12,1,0,Physical Damage,2,1361,936.84,1798,Invalid
44,Washing Machine,60,12,1,1,Unknown,2,1017,345.13,1808,Invalid
45,Washing Machine,26,24,0,1,Manufacturing Defect,1,710,650.41,777,Manual Review
46,Tablet,20,36,1,1,Software Failure,2,100,34.31,596,Valid
47,Camera,40,36,0,0,Physical Damage,4,374,96.15,1191,Invalid
48,Washing Machine,40,36,0,1,Physical Damage,1,876,623.9,1204,Invalid
49,Smartphone,32,12,0,0,Software Failure,0,952,550.75,952,Manual Review
50,TV,21,12,1,1,Water Damage,2,2299,301.98,638,Invalid
51,Laptop,28,36,1,1,Manufacturing Defect,0,683,187.76,846,Valid
52,Headphones,23,12,0,0,Water Damage,4,421,368.4,688,Invalid
53,Camera,5,12,1,1,Battery Failure,1,699,96.6,153,Valid
54,Tablet,57,12,0,0,Physical Damage,4,255,155.81,1708,Invalid
55,Smartphone,60,12,1,0,Water Damage,2,904,123.13,1803,Invalid
56,Laptop,13,36,1,1,Unknown,4,2915,2405.0,396,Manual Review
57,Camera,29,24,0,1,Screen Damage,1,1417,1422.01,876,Manual Review
58,Laptop,48,12,1,0,Physical Damage,4,2126,355.31,1450,Invalid
59,Headphones,29,36,1,1,Manufacturing Defect,0,166,89.54,869,Valid
60,TV,4,12,1,1,Manufacturing Defect,1,675,312.32,129,Valid
61,Camera,60,12,1,0,Water Damage,1,925,778.56,1804,Invalid
62,TV,50,24,1,1,Water Damage,2,1192,187.52,1503,Invalid
63,Camera,48,24,1,0,Electrical Failure,0,243,73.02,1434,Manual Review
64,Camera,2,24,1,1,Electrical Failure,0,2016,918.81,57,Valid
65,Washing Machine,36,24,0,0,Unknown,3,1082,330.81,1073,Invalid
66,Headphones,13,36,1,1,Electrical Failure,1,176,108.54,382,Valid
67,Headphones,49,12,1,1,Physical Damage,3,199,145.25,1478,Manual Review
68,Washing Machine,51,12,0,0,Water Damage,4,1785,891.23,1538,Invalid
69,Smartphone,58,24,0,0,Water Damage,1,681,177.44,1749,Invalid
70,Laptop,9,12,0,0,Screen Damage,4,1351,1480.68,276,Manual Review
71,Headphones,18,12,0,0,Electrical Failure,1,367,328.56,530,Manual Review
72,Tablet,41,36,0,0,Unknown,3,1132,911.39,1233,Invalid
73,Washing Machine,26,12,1,0,Physical Damage,3,901,247.56,789,Invalid
74,Camera,6,36,0,0,Software Failure,4,1256,324.16,184,Manual Review
75,Camera,24,36,1,1,Software Failure,2,547,308.85,726,Valid
76,Washing Machine,55,36,1,0,Software Failure,4,329,280.45,1641,Manual Review
77,Tablet,60,24,0,0,Water Damage,3,407,93.49,1794,Invalid
78,Washing Machine,19,12,1,0,Electrical Failure,1,731,678.05,564,Manual Review
79,TV,11,12,1,1,Manufacturing Defect,1,1456,331.64,336,Valid
80,Washing Machine,55,36,0,0,Unknown,4,1167,457.71,1646,Invalid
81,TV,58,36,0,1,Water Damage,4,1204,819.98,1742,Manual Review
82,Tablet,56,36,1,1,Manufacturing Defect,2,340,368.69,1678,Manual Review
83,Refrigerator,10,12,0,0,Battery Failure,4,1056,114.78,304,Manual Review
84,Washing Machine,44,24,0,1,Physical Damage,2,529,211.27,1311,Invalid
85,TV,53,24,0,0,Unknown,1,2208,1163.12,1583,Invalid
86,Headphones,6,24,1,1,Electrical Failure,1,399,143.44,188,Valid
87,Headphones,16,12,0,0,Unknown,3,473,71.36,483,Invalid
88,Washing Machine,8,36,1,1,Electrical Failure,2,933,591.07,240,Valid
89,Laptop,40,12,0,0,Water Damage,2,1676,278.28,1208,Invalid
90,Laptop,47,12,0,0,Unknown,2,2431,2172.19,1409,Invalid
91,TV,33,36,0,0,Screen Damage,0,1447,1444.3,991,Manual Review
92,Laptop,20,24,1,1,Software Failure,2,426,189.59,610,Valid
93,TV,38,36,1,1,Software Failure,0,1482,1150.98,1143,Manual Review
94,Laptop,7,12,1,1,Electrical Failure,0,1318,333.81,217,Valid
95,Laptop,11,12,1,1,Software Failure,1,2609,1846.92,334,Valid
96,TV,37,12,1,0,Water Damage,3,1565,1010.16,1112,Invalid
97,Refrigerator,42,36,0,0,Water Damage,3,1993,976.5,1253,Invalid
98,Smartphone,7,24,1,1,Manufacturing Defect,0,185,65.21,209,Valid
99,Headphones,45,36,1,0,Electrical Failure,3,406,120.76,1351,Manual Review
100,Tablet,15,36,1,1,Manufacturing Defect,2,409,43.89,456,Valid
101,Headphones,59,36,0,0,Water Damage,3,195,127.41,1765,Invalid
102,Laptop,26,12,0,0,Physical Damage,3,2950,2071.04,790,Invalid
103,Camera,36,24,0,0,Unknown,2,284,243.81,1087,Invalid
104,Tablet,34,24,1,1,Water Damage,3,238,129.92,1013,Invalid
105,Tablet,31,36,0,1,Electrical Failure,0,232,219.21,928,Manual Review
106,Headphones,21,24,1,1,Electrical Failure,2,469,412.28,636,Valid
107,Washing Machine,21,36,1,1,Battery Failure,1,1562,1080.05,629,Valid
108,Camera,31,36,1,1,Manufacturing Defect,2,765,393.93,937,Valid
109,Tablet,48,24,0,1,Physical Damage,0,444,405.8,1443,Manual Review
110,Headphones,37,24,1,0,Screen Damage,4,77,67.71,1117,Manual Review
111,Laptop,27,12,1,1,Physical Damage,4,2375,2373.59,812,Manual Review
112,Smartphone,45,36,1,1,Physical Damage,2,849,351.48,1358,Invalid
113,Washing Machine,59,36,0,0,Water Damage,4,1212,851.15,1778,Invalid
114,Smartphone,6,12,1,1,Battery Failure,0,608,531.83,182,Valid
115,Smartphone,14,36,1,1,Water Damage,3,314,116.92,426,Manual Review
116,Tablet,34,36,1,1,Manufacturing Defect,2,967,490.07,1010,Valid
117,Tablet,28,36,1,1,Software Failure,0,805,686.88,842,Valid
118,Tablet,18,36,0,1,Manufacturing Defect,4,224,164.75,542,Manual Review
119,Refrigerator,22,24,1,0,Physical Damage,1,1601,1544.85,670,Manual Review
120,Camera,18,24,1,1,Battery Failure,1,1194,362.97,540,Valid
121,Washing Machine,7,24,1,1,Electrical Failure,0,843,351.22,220,Valid
122,Camera,3,24,0,0,Electrical Failure,3,1303,1124.73,80,Manual Review
123,Smartphone,34,24,1,1,Water Damage,1,1461,602.5,1014,Invalid
124,Laptop,36,36,1,1,Battery Failure,1,2149,1741.71,1083,Valid
125,TV,59,36,0,1,Physical Damage,3,805,320.66,1777,Invalid
126,TV,60,12,1,0,Physical Damage,4,1505,1186.16,1792,Invalid
127,Tablet,45,36,1,0,Physical Damage,4,769,355.75,1340,Invalid
128,Headphones,46,36,0,1,Screen Damage,4,172,175.92,1370,Manual Review
129,TV,10,12,1,1,Water Damage,0,2221,2148.98,294,Manual Review
130,Refrigerator,16,24,1,1,Battery Failure,0,1084,485.35,483,Valid
131,TV,49,24,0,1,Unknown,3,2246,1183.98,1474,Invalid
132,TV,53,36,0,1,Physical Damage,3,2054,654.02,1590,Invalid
133,Laptop,43,36,1,0,Water Damage,3,419,72.33,1288,Invalid
134,Tablet,5,24,1,1,Manufacturing Defect,1,846,693.03,141,Valid
135,Camera,11,12,1,1,Manufacturing Defect,1,881,577.23,320,Valid
136,Camera,30,12,1,0,Screen Damage,3,2085,820.83,901,Manual Review
137,Smartphone,35,36,1,1,Software Failure,1,211,52.76,1051,Valid
138,Headphones,44,36,0,0,Electrical Failure,1,305,169.27,1323,Manual Review
139,Headphones,38,24,0,0,Unknown,3,288,214.07,1143,Invalid
140,Smartphone,48,36,1,1,Physical Damage,4,189,63.72,1450,Invalid
141,Washing Machine,54,36,0,0,Unknown,3,1024,156.64,1614,Invalid
142,Tablet,20,24,1,1,Software Failure,0,277,226.38,594,Valid
143,Smartphone,20,24,1,1,Manufacturing Defect,0,190,80.14,597,Valid
144,Camera,9,12,1,1,Battery Failure,1,1966,306.65,270,Valid
145,Camera,13,24,1,1,Screen Damage,3,885,718.23,388,Manual Review
146,Smartphone,51,12,0,1,Screen Damage,1,385,186.47,1534,Manual Review
147,TV,23,24,1,1,Electrical Failure,1,887,518.64,683,Valid
148,Laptop,60,24,0,1,Unknown,1,1814,1356.13,1806,Manual Review
149,Headphones,14,12,1,0,Manufacturing Defect,3,186,19.36,410,Manual Review
150,Camera,9,36,1,1,Electrical Failure,1,318,105.81,273,Manual Review
151,Smartphone,53,24,1,0,Physical Damage,2,1128,1127.8,1594,Manual Review
152,TV,28,24,1,0,Software Failure,2,2455,411.97,839,Manual Review
153,Laptop,42,24,0,1,Software Failure,4,1088,1134.41,1268,Manual Review
154,Laptop,8,24,1,1,Software Failure,0,1395,641.25,234,Valid
155,Washing Machine,4,24,1,1,Electrical Failure,1,1119,777.31,122,Valid
156,TV,38,12,1,1,Screen Damage,4,941,383.14,1143,Manual Review
157,Smartphone,34,24,0,0,Software Failure,3,900,906.56,1025,Manual Review
158,Camera,26,12,0,0,Software Failure,0,502,193.93,774,Manual Review
159,Smartphone,30,36,1,1,Battery Failure,1,696,532.46,892,Valid
160,Washing Machine,7,12,1,1,Manufacturing Defect,1,1328,530.1,212,Valid
161,TV,28,24,1,0,Water Damage,2,1978,711.31,835,Invalid
162,Smartphone,57,12,0,0,Software Failure,2,796,811.79,1712,Manual Review
163,Camera,55,36,0,0,Water Damage,3,1427,793.73,1649,Invalid
164,Refrigerator,44,36,0,0,Physical Damage,1,1549,765.62,1329,Invalid
165,Camera,48,36,0,0,Physical Damage,1,2304,587.64,1450,Invalid
166,Camera,41,24,0,0,Screen Damage,2,551,533.61,1238,Manual Review
167,Washing Machine,15,24,1,1,Electrical Failure,4,913,965.11,444,Manual Review
168,Laptop,6,12,1,1,Software Failure,1,2445,369.43,188,Valid
169,Refrigerator,54,24,1,0,Unknown,3,1798,1570.33,1615,Invalid
170,Smartphone,59,36,0,0,Unknown,0,253,215.92,1769,Manual Review
171,Laptop,54,36,0,0,Physical Damage,2,1304,995.93,1628,Invalid
172,TV,32,36,1,0,Electrical Failure,0,2013,2136.1,969,Manual Review
173,Tablet,7,36,1,1,Manufacturing Defect,1,1002,126.95,211,Valid
174,Washing Machine,17,24,0,1,Manufacturing Defect,0,1078,800.66,503,Manual Review
175,Washing Machine,35,36,1,1,Software Failure,1,959,763.06,1047,Valid
176,Camera,43,12,0,0,Unknown,1,1942,402.2,1295,Invalid
177,Refrigerator,60,36,0,0,Water Damage,3,1001,660.9,1804,Invalid
178,Tablet,51,12,0,1,Physical Damage,3,716,227.09,1531,Invalid
179,Headphones,44,12,1,1,Unknown,1,334,205.01,1311,Invalid
180,Smartphone,18,36,1,0,Water Damage,0,371,350.79,548,Manual Review
181,Tablet,12,24,1,1,Battery Failure,2,646,427.3,370,Valid
182,Camera,10,36,1,1,Manufacturing Defect,1,1285,476.54,302,Valid
183,Laptop,3,12,1,1,Battery Failure,2,503,321.51,88,Valid
184,TV,21,36,1,1,Manufacturing Defect,0,331,246.28,632,Valid
185,Camera,44,36,1,1,Unknown,3,1366,845.23,1327,Invalid
186,Laptop,57,36,0,0,Physical Damage,4,398,228.46,1720,Invalid
187,Tablet,15,12,0,1,Unknown,4,1200,645.62,442,Invalid
188,Camera,7,12,1,1,Manufacturing Defect,1,2137,1419.36,212,Valid
189,Refrigerator,2,12,1,1,Software Failure,0,1268,777.75,69,Valid
190,Camera,13,24,1,1,Electrical Failure,2,1737,314.65,395,Valid
191,Laptop,56,24,0,0,Physical Damage,4,2759,1900.78,1684,Invalid
192,Camera,21,24,1,1,Manufacturing Defect,0,1863,727.78,625,Valid
193,Camera,39,24,1,1,Manufacturing Defect,0,936,699.41,1165,Manual Review
194,Tablet,2,24,1,1,Manufacturing Defect,2,698,459.24,54,Valid
195,TV,25,36,1,1,Software Failure,1,1417,1116.78,753,Valid
196,Smartphone,56,36,0,1,Manufacturing Defect,0,198,191.24,1689,Manual Review
197,Smartphone,43,36,0,1,Unknown,1,620,184.72,1285,Manual Review
198,Refrigerator,9,12,1,1,Battery Failure,2,2004,674.21,261,Valid
199,Tablet,7,12,1,1,Battery Failure,2,825,130.07,201,Valid
200,Smartphone,43,36,1,0,Physical Damage,2,1200,124.16,1283,Invalid
201,Smartphone,10,12,1,1,Software Failure,0,358,55.06,310,Valid
202,Smartphone,18,36,1,1,Manufacturing Defect,0,659,436.36,539,Valid
203,Smartphone,51,36,1,1,Water Damage,3,1475,226.99,1523,Invalid
204,Headphones,50,12,1,1,Water Damage,2,340,309.82,1500,Manual Review
205,Camera,15,24,1,1,Electrical Failure,1,757,257.64,459,Valid
206,Tablet,32,36,0,0,Unknown,0,441,445.81,965,Manual Review
207,Washing Machine,52,12,1,1,Water Damage,4,1292,542.81,1552,Manual Review
208,TV,47,12,0,1,Software Failure,0,816,666.84,1415,Manual Review
209,Laptop,4,36,0,1,Water Damage,1,2494,1038.55,119,Manual Review
210,Laptop,3,12,1,1,Software Failure,1,1316,138.79,92,Valid
211,Washing Machine,12,36,1,1,Electrical Failure,0,344,75.05,354,Valid
212,Washing Machine,11,12,1,1,Battery Failure,2,510,195.3,337,Valid
213,Smartphone,57,36,0,1,Physical Damage,2,106,44.58,1720,Invalid
214,Headphones,7,36,1,1,Manufacturing Defect,2,306,235.26,202,Valid
215,Smartphone,41,36,1,0,Electrical Failure,3,474,213.85,1234,Manual Review
216,Headphones,37,36,1,0,Physical Damage,3,347,122.26,1118,Invalid
217,Laptop,7,12,1,1,Manufacturing Defect,1,1708,995.73,201,Valid
218,Camera,12,36,1,1,Battery Failure,2,1970,820.44,369,Valid
219,Laptop,43,12,0,0,Software Failure,2,1780,1235.94,1299,Manual Review
220,Washing Machine,25,24,1,1,Physical Damage,4,1193,504.79,742,Invalid
221,TV,44,36,0,1,Water Damage,3,525,341.52,1325,Invalid
222,Washing Machine,21,36,1,1,Battery Failure,0,1320,1183.74,634,Valid
223,Refrigerator,8,12,1,1,Software Failure,2,2492,474.9,233,Valid
224,Laptop,48,24,1,0,Physical Damage,4,680,90.0,1440,Invalid
225,Camera,41,12,0,1,Physical Damage,4,1636,317.66,1222,Manual Review
226,Headphones,59,12,0,0,Physical Damage,1,134,106.47,1765,Invalid
227,Smartphone,13,12,0,1,Physical Damage,1,577,192.07,394,Manual Review
228,Laptop,38,12,0,1,Unknown,1,991,150.4,1136,Invalid
229,Refrigerator,49,36,0,0,Unknown,4,2384,1213.77,1464,Invalid
230,Camera,8,36,1,1,Electrical Failure,1,2075,1232.32,239,Valid
231,Laptop,10,36,0,0,Unknown,0,1624,263.46,294,Manual Review
232,Camera,19,36,1,0,Battery Failure,2,963,901.75,563,Manual Review
233,Laptop,37,24,0,0,Physical Damage,2,2172,1649.95,1106,Invalid
234,Camera,39,12,1,0,Physical Damage,4,1345,619.48,1178,Invalid
235,TV,13,36,1,0,Electrical Failure,0,1549,1692.02,397,Manual Review
236,Headphones,27,36,1,1,Unknown,4,36,38.32,804,Manual Review
237,Tablet,7,24,1,1,Battery Failure,4,509,130.6,209,Manual Review
238,Headphones,40,36,1,0,Unknown,4,241,32.87,1201,Invalid
239,Camera,20,36,1,1,Software Failure,0,817,171.48,596,Valid
240,Tablet,60,12,1,1,Physical Damage,3,1070,873.96,1808,Invalid
241,TV,45,24,0,0,Electrical Failure,2,2018,2127.94,1346,Manual Review
242,Smartphone,21,12,1,1,Manufacturing Defect,4,1253,1170.9,640,Manual Review
243,TV,3,12,1,1,Electrical Failure,0,1506,846.34,90,Valid
244,Smartphone,8,36,1,0,Electrical Failure,1,458,478.77,250,Manual Review
245,Tablet,47,24,0,1,Screen Damage,1,252,91.15,1408,Manual Review
246,Tablet,37,24,1,1,Water Damage,3,230,212.0,1118,Manual Review
247,Washing Machine,55,24,0,0,Water Damage,3,511,338.79,1656,Invalid
248,Washing Machine,31,36,1,1,Software Failure,1,654,305.9,937,Valid
249,Camera,47,36,0,0,Screen Damage,0,1628,1786.96,1403,Manual Review
250,TV,45,12,1,0,Unknown,3,855,101.52,1357,Invalid
251,Laptop,9,36,1,1,Manufacturing Defect,2,946,402.55,275,Valid
252,Camera,48,24,0,1,Unknown,3,2165,1018.15,1441,Invalid
253,Tablet,25,24,0,1,Water Damage,3,1021,486.97,750,Invalid
254,TV,57,24,1,0,Water Damage,3,448,158.89,1717,Invalid
255,TV,10,36,1,0,Physical Damage,0,1841,620.78,303,Manual Review
256,Headphones,41,36,0,1,Water Damage,1,47,29.65,1230,Invalid
257,Camera,8,12,1,1,Manufacturing Defect,1,1958,1093.97,250,Valid
258,Headphones,55,24,1,0,Electrical Failure,3,139,137.33,1648,Manual Review
259,Washing Machine,51,12,1,1,Manufacturing Defect,3,557,338.34,1538,Manual Review
260,Smartphone,49,24,1,0,Physical Damage,1,1100,198.05,1466,Invalid
261,Camera,41,12,1,0,Electrical Failure,2,2318,2415.37,1224,Manual Review
262,Refrigerator,18,12,0,0,Unknown,1,457,308.41,543,Invalid
263,Camera,21,36,1,1,Software Failure,1,2011,1288.05,636,Valid
264,Washing Machine,54,36,1,1,Water Damage,2,902,414.06,1612,Invalid
265,Washing Machine,41,36,1,1,Water Damage,3,1754,337.34,1231,Invalid
266,Refrigerator,13,24,1,0,Manufacturing Defect,1,1210,1152.4,385,Manual Review
267,TV,46,24,0,1,Water Damage,1,1289,512.96,1383,Invalid
268,Headphones,38,24,1,0,Water Damage,1,488,128.05,1142,Manual Review
269,Smartphone,13,36,1,1,Software Failure,0,1019,582.27,380,Valid
270,TV,50,36,0,0,Unknown,4,495,345.27,1494,Invalid
271,Washing Machine,23,36,1,1,Electrical Failure,2,1291,327.67,687,Valid
272,Smartphone,19,36,1,0,Water Damage,3,1229,1221.52,563,Manual Review
273,Washing Machine,58,24,0,1,Software Failure,3,1424,1525.45,1746,Manual Review
274,Refrigerator,33,12,1,0,Manufacturing Defect,1,498,140.11,991,Manual Review
275,Washing Machine,12,12,1,1,Electrical Failure,0,1122,1195.65,350,Manual Review
276,Tablet,25,24,1,1,Water Damage,4,1089,914.21,745,Invalid
277,TV,45,24,1,0,Unknown,3,1819,576.62,1354,Invalid
278,Washing Machine,12,12,1,1,Electrical Failure,0,1663,949.84,355,Valid
279,Tablet,9,24,1,1,Manufacturing Defect,3,922,908.17,280,Manual Review
280,Washing Machine,1,12,1,1,Software Failure,0,644,540.51,33,Valid
281,TV,19,36,1,1,Software Failure,1,2455,1186.32,562,Valid
282,Headphones,13,12,1,0,Physical Damage,4,420,173.98,382,Invalid
283,Tablet,25,12,0,0,Unknown,2,154,41.18,760,Invalid
284,Washing Machine,33,36,1,1,Software Failure,2,1452,493.44,980,Valid
285,Tablet,15,24,1,1,Battery Failure,3,291,144.56,445,Manual Review
286,Washing Machine,56,36,0,0,Battery Failure,1,931,949.98,1671,Manual Review
287,Washing Machine,17,24,1,1,Software Failure,0,1734,1037.71,516,Valid
288,Camera,18,36,1,0,Software Failure,2,878,867.27,535,Manual Review
289,TV,54,36,0,0,Unknown,3,1674,1455.24,1624,Invalid
290,TV,12,24,1,1,Software Failure,1,2249,496.12,350,Valid
291,Laptop,8,36,1,1,Battery Failure,1,1738,1185.15,250,Valid
292,Camera,24,24,1,1,Electrical Failure,0,927,633.2,728,Valid
293,Camera,11,24,1,1,Software Failure,1,455,120.79,333,Valid
294,Smartphone,52,36,0,0,Unknown,4,1029,440.54,1552,Invalid
295,Headphones,8,12,0,0,Screen Damage,1,192,110.0,235,Manual Review
296,TV,39,24,0,0,Physical Damage,2,375,238.08,1176,Invalid
297,Headphones,30,36,1,0,Battery Failure,2,286,224.42,901,Manual Review
298,Washing Machine,37,24,0,1,Physical Damage,3,1783,370.48,1101,Invalid
299,Tablet,52,36,1,0,Unknown,3,812,353.24,1567,Invalid
300,Washing Machine,12,24,1,1,Manufacturing Defect,1,404,224.72,356,Valid
301,Tablet,5,12,1,1,Software Failure,1,533,247.18,150,Valid
302,Camera,16,12,0,0,Physical Damage,4,693,551.51,477,Invalid
303,Camera,18,24,1,1,Electrical Failure,1,1271,492.79,545,Valid
304,Laptop,3,36,0,1,Unknown,3,2883,1325.61,89,Manual Review
305,Headphones,12,12,1,1,Electrical Failure,0,101,68.3,365,Valid
306,Headphones,10,36,1,1,Software Failure,0,496,137.7,304,Valid
307,Smartphone,27,36,1,1,Manufacturing Defect,0,522,80.3,819,Valid
308,TV,53,12,0,1,Physical Damage,3,477,165.15,1596,Invalid
309,Washing Machine,3,12,1,1,Manufacturing Defect,1,1267,832.24,84,Valid
310,Tablet,23,12,0,1,Manufacturing Defect,1,662,216.71,693,Manual Review
311,Laptop,9,12,1,1,Physical Damage,1,921,368.95,267,Manual Review
312,Smartphone,19,24,1,1,Manufacturing Defect,0,1416,627.13,574,Valid
313,Washing Machine,33,24,0,1,Unknown,1,1313,437.49,981,Manual Review
314,TV,40,36,0,1,Water Damage,4,976,248.39,1197,Invalid
315,Washing Machine,46,36,0,1,Physical Damage,1,1581,484.01,1382,Invalid
316,Headphones,25,12,0,0,Water Damage,2,48,22.86,745,Invalid
317,Refrigerator,45,36,1,1,Unknown,2,1942,1209.75,1351,Invalid
318,Headphones,7,24,1,1,Manufacturing Defect,1,113,77.39,220,Valid
319,Tablet,10,36,1,1,Battery Failure,2,791,612.25,308,Valid
320,Refrigerator,42,12,1,0,Water Damage,4,1511,952.51,1261,Invalid
321,TV,49,36,1,0,Unknown,3,499,87.94,1461,Invalid
322,TV,8,36,1,0,Software Failure,3,206,71.82,236,Manual Review
323,Camera,1,36,1,1,Manufacturing Defect,0,810,434.54,31,Valid
324,Headphones,34,12,1,0,Manufacturing Defect,4,60,54.02,1026,Manual Review
325,Smartphone,11,24,1,1,Battery Failure,0,1073,897.74,331,Valid
326,Refrigerator,54,36,0,1,Unknown,2,1222,327.22,1619,Invalid
327,Refrigerator,41,36,0,1,Unknown,3,445,241.55,1237,Invalid
328,Headphones,16,24,1,1,Manufacturing Defect,0,231,116.51,477,Valid
329,TV,11,12,1,1,Manufacturing Defect,2,2029,1060.23,331,Valid
330,Smartphone,9,24,1,1,Battery Failure,0,654,140.03,273,Manual Review
331,Refrigerator,4,36,1,0,Battery Failure,0,823,155.34,113,Manual Review
332,Camera,33,36,0,0,Unknown,2,1180,283.4,986,Manual Review
333,Refrigerator,40,24,1,1,Water Damage,0,1024,958.12,1208,Manual Review
334,Refrigerator,2,12,1,1,Manufacturing Defect,2,1162,580.11,62,Valid
335,TV,44,24,0,1,Physical Damage,2,1485,288.64,1326,Manual Review
336,TV,2,24,0,1,Screen Damage,3,304,138.37,56,Manual Review
337,TV,27,24,1,1,Battery Failure,3,1652,1371.29,800,Manual Review
338,TV,8,12,1,1,Manufacturing Defect,0,1407,163.3,238,Valid
339,Smartphone,41,12,1,1,Screen Damage,1,730,561.99,1226,Manual Review
340,Smartphone,44,36,1,0,Water Damage,2,503,116.49,1319,Invalid
341,Camera,8,12,1,1,Battery Failure,2,883,434.18,234,Valid
342,Smartphone,45,36,0,0,Water Damage,4,916,440.58,1355,Invalid
343,Camera,53,12,1,0,Electrical Failure,3,540,381.83,1599,Manual Review
344,Laptop,37,36,1,1,Battery Failure,2,1134,1023.22,1118,Manual Review
345,TV,34,36,1,1,Battery Failure,2,1759,414.42,1018,Valid
346,Tablet,53,12,1,0,Water Damage,1,1097,180.54,1580,Invalid
347,Refrigerator,5,12,0,1,Water Damage,4,2057,2153.24,148,Manual Review
348,Smartphone,32,24,0,1,Manufacturing Defect,2,1016,434.69,955,Manual Review
349,Tablet,38,36,1,0,Screen Damage,3,232,54.28,1150,Manual Review
350,Headphones,2,12,1,1,Software Failure,2,304,34.4,66,Valid
351,TV,46,12,0,1,Water Damage,4,2424,1283.82,1372,Invalid
352,Smartphone,56,24,0,0,Unknown,1,669,201.8,1689,Invalid
353,Refrigerator,30,24,0,0,Water Damage,2,2197,1329.37,910,Invalid
354,Headphones,48,24,1,1,Unknown,4,441,150.88,1434,Invalid
355,TV,15,36,1,1,Battery Failure,1,1877,958.44,440,Valid
356,Washing Machine,60,36,1,0,Water Damage,1,1618,528.06,1791,Invalid
357,Washing Machine,15,12,1,1,Electrical Failure,2,439,420.39,457,Manual Review
358,Camera,4,12,1,1,Battery Failure,1,413,253.15,121,Valid
359,Headphones,4,12,1,1,Electrical Failure,0,59,33.24,127,Valid
360,Laptop,5,36,1,0,Water Damage,1,2763,1986.56,145,Manual Review
361,TV,48,12,0,1,Water Damage,0,299,180.38,1436,Manual Review
362,Smartphone,21,24,1,1,Manufacturing Defect,2,436,367.96,627,Valid
